Name,Company,Title,Industry,LinkedIn,Innovera Contact
Mikael Klintberg,Örebro University,Head of External Relations & Project Manager, AI, Robotics and Cybersecurity Center (ARC),Academia / AI & Robotics,https://www.linkedin.com/in/mikaelklintberg,Daniel
Vasyl Rakivnenko,Stanford Law School,AI Technical Lead,Academia / AI Research,https://www.linkedin.com/in/rakivnenkov,Daniel
George Berezhnov,London Business School,Sloan Fellow - Sloan Masters in Leadership and Strategy,Academia / Business Education,https://www.linkedin.com/in/gberezhnov,Daniel
Nik Brodskiy,San José State University,Lecturer, Finance & Accounting,Academia / Finance,https://www.linkedin.com/in/nbrodskiy,Daniel
Nesra Yannier,Carnegie Mellon University,Senior Systems Scientist,Academia / Research,https://www.linkedin.com/in/nesra-yannier-17b7a119,Daniel
Serephina Ha,Founder Institute,Managing Director,Accelerator / Entrepreneurship,https://www.linkedin.com/in/serephina-ha,Daniel
Dr. Paul Fang,Bay Area Founders Club,Founder & CEO,Accelerator / Entrepreneurship,https://www.linkedin.com/in/paul-fang-phd,Daniel
Nedra Fu,Creative HQ,GM, School of Innovation,Accelerator / Innovation,https://www.linkedin.com/in/nedrafu,Daniel
Danil Kislinskiy,Berkeley SkyDeck,Startup Founder / Alumni,Accelerator / Startup Ecosystem,https://www.linkedin.com/in/danilkislinskiy,Daniel
Pierre ROBINET,Ogilvy Asia,President Ogilvy Health Asia Pacific,Advertising / Marketing,https://www.linkedin.com/in/pierrerobinet,Daniel
Anders Ericsson,Entrepreneur In Residence,Telespazio Germany GmbH,Aerospace,https://www.linkedin.com/in/anders-ericsson-raw,Daniel
Daria Moisio,Technology Analyst & Business Innovation,Thales Alenia Space,Aerospace,https://www.linkedin.com/in/daria-moisio,Daniel
Mike Prince,Peer-to-Peer Agentic AI Evangelist,Agentic Profile,AI / Advocacy,https://www.linkedin.com/in/mike-prince-7713,Daniel
Karan Chaudhry,Sprouts.ai,Co-Founder and CEO,AI / Agritech,https://www.linkedin.com/in/karanchaudhry,Daniel
Priyanka Dhanawade,Sprouts.ai,Director GTM,AI / Agritech,https://www.linkedin.com/in/priyankadhanawade,Daniel
Cecilia Cao, PhD,CEO & Co-Founder,AutoSeek,AI / Automotive,https://www.linkedin.com/in/cecilia-cao,Daniel
Peter B. Ritz,Stealth AI Startup,Enterprise AI, Hyperscale Cloud,AI / Cloud,https://www.linkedin.com/in/peterbritz,Daniel
Vlad Pranskevichus,Claid,CTO & Founder,AI / Computer Vision,https://www.linkedin.com/in/vlprans,Daniel
Jeff Ritter,TransformLearning.ai,Founder,AI / EdTech,https://www.linkedin.com/in/jeff-ritter-4651a61,Daniel
Ian Lordemann,C3 AI,AI Solutions Leader,AI / Enterprise Software,https://www.linkedin.com/in/ian-lordemann,Daniel
Harry Wetherall,INNOVERA AI,Head of Special Projects & Platform Delivery,AI / Enterprise Software,https://www.linkedin.com/in/harry-wetherall,Daniel
John Whaley,Redcoat AI,Founder and CEO,AI / Enterprise Software,https://www.linkedin.com/in/joewhaley,Daniel
Howie Xu,Gen,Chief AI & Innovation Officer,AI / Enterprise Software,https://www.linkedin.com/in/howie,Daniel
Cyril Shtabtsovsky,AlphaSemantic,Founder,AI / Enterprise Software,https://www.linkedin.com/in/cyrilsh,Daniel
Satish Padmanabhan,Dimaag-AI,Founder and CEO,AI / Enterprise Software,https://www.linkedin.com/in/satish-padmanabhan,Daniel
Constantine Belenko,INNOVERA AI,Founding Engineer,AI / Enterprise Software,https://www.linkedin.com/in/constantine-belenko-bb54631b9,Daniel
Felipe Góes,INNOVERA.AI,Customer Success Junior Manager,AI / Enterprise Software,https://www.linkedin.com/in/felipecgoes,Daniel
Alex Utkin,Clutch,Head of AI Innovations,AI / Enterprise Software,https://www.linkedin.com/in/alex-utkin,Daniel
Rabie Zahri,Positon AI,Co-Founder & CEO,AI / Enterprise Software,https://www.linkedin.com/in/rabiezahri,Daniel
Anna Hardy,INNOVERA AI,Operations Manager,AI / Enterprise Software,https://www.linkedin.com/in/anna-hardy-00400789,Daniel
Chloé Swain,FutureTwin AI,Founder & CEO,AI / Enterprise Software,https://www.linkedin.com/in/chlo%C3%AB-swain,Daniel
Jason Mingho Kim,CapitalBridge AI,Co-Founder,AI / Enterprise Software,https://www.linkedin.com/in/jasonminghokim,Daniel
Andrew Burton,Pryon,Senior AI Product Manager,AI / Enterprise Software,https://www.linkedin.com/in/andrew-burton-a0075230,Daniel
Indrayudh Ghoshal,Scribble Data,Co-Founder & CEO,AI / Enterprise Software,https://www.linkedin.com/in/indrayudhghoshal,Daniel
Ian Eisenberg,Head of AI Governance Research,Credo AI,AI / Governance,https://www.linkedin.com/in/ian-eisenberg-aa17b594,Daniel
Renat Khairullin,Harri,AI Transformation Program Manager,AI / Hospitality Tech,https://www.linkedin.com/in/renat-khairullin,Daniel
Christian Bailey,Squawk AI,Co-Founder,AI / Media,https://www.linkedin.com/in/christianbailey,Daniel
Dave Edwards,Co-Founder,Artificiality Institute,AI / Research,https://www.linkedin.com/in/daveedwards2,Daniel
Mateo H. Petel,Google DeepMind,Research Fellow,AI / Research,https://www.linkedin.com/in/mateo-petel,Daniel
Katherine Zacarian,Co-Founder & CEO,Earth Species Project,AI / Research (biology),https://www.linkedin.com/in/katherine-zacarian,Daniel
Vlada Lotkina,SUPERAGENT,Founder & COO,AI / SaaS,https://www.linkedin.com/in/vlada-lotkina,Daniel
Emrah Yalaz,Olympos,Founder,AI / SaaS,https://www.linkedin.com/in/emrahyalaz,Daniel
Aleh Tsikhanau,Finderz AI,Chief Executive Officer,AI / SaaS,https://www.linkedin.com/in/ethnoza,Daniel
Erhan Ark,SignMetrix,Founder,AI / SaaS,https://www.linkedin.com/in/erhanark,Daniel
Salman Saghafi, PhD,Senior Principal Software Engineer,Mimic,AI / Software,https://www.linkedin.com/in/salman-saghafi-phd-99144762,Daniel
Saeid Ghafouri,Chief Revenue Officer,INNOVERA.AI,AI / Software,https://www.linkedin.com/in/saeid-ghafouri-57ai,Daniel
Deepak Mishra,Co-Founder,Stealth AI Startup,AI / Startup,https://www.linkedin.com/in/dmishra91,Daniel
Leanid Tsurankou,QIBUS,Founder & CEO,AI / Tech,https://www.linkedin.com/in/leanid,Daniel
Carla Alaimo Oliveira,Blort AI,Interaction Designer,AI / UX Design,https://www.linkedin.com/in/carlaalaimoo,Daniel
Adi Rubinovich,Self-employed,Early Stage Investor,Angel / Venture Capital,https://www.linkedin.com/in/adirubinovich,Daniel
Jeff Depew,Investor & Board President,Sand Hill Angels,Angel Investing,https://www.linkedin.com/in/jeff-depew-0173,Daniel
Marina Morgan,Director of Strategic Development,New York City Opera,Arts / Nonprofit,https://www.linkedin.com/in/marinamorgan-sf,Daniel
David M'Raihi, Ph.D.,CARIAD,Global VP, Chief Product Security Officer,Automotive / AI & Cybersecurity,https://www.linkedin.com/in/introuvable,Daniel
Eric Starks,Station Manager SFO,Virgin Atlantic Airways,Aviation,https://www.linkedin.com/in/eric-starks-bb558828,Daniel
Zeynep Birce Suzan,Turkish Airlines,Investment Management Director - Fleet Planning & Aircraft Acquisition,Aviation / Transportation,https://www.linkedin.com/in/zeynepbircesuzan,Daniel
Christian Cuenco,Bridge Bank,Relationship Manager,Banking,https://www.linkedin.com/in/christian-c-81a1b38,Daniel
Vipul Saini,HDFC Bank,Assistant VP (Startups),Banking,https://www.linkedin.com/in/vipulksaini,Daniel
Greg Cohn,Wells Fargo,Principal - Commercial Banking,Banking / Financial Services,https://www.linkedin.com/in/gregorycohn,Daniel
Sweta Sinha,JPMorgan Chase & Co.,Executive Director - Data Products Platform,Banking / Fintech,https://www.linkedin.com/in/swetasinha19,Daniel
Liam Fairbairn,Silicon Valley Bank,Director, SVB Startup Banking,Banking / Fintech,https://www.linkedin.com/in/liam-fairbairn-31b65,Daniel
Andy Tsao,Silicon Valley Bank,Managing Director, Founder/Head of Global Gateway,Banking / Fintech,https://www.linkedin.com/in/andyhtsao,Daniel
Sheng-Nan Zhao,Wells Fargo,Investor, Strategic Capital - Principal Technology Investments,Banking / Venture Investments,https://www.linkedin.com/in/snzbn,Daniel
Nikita Brodyagin,Korro Bio, Inc.,Head of Oligonucleotide Operations,Biotech / Life Sciences,https://www.linkedin.com/in/nikita-brodyagin-30aa1b103,Daniel
Kim Cope,VP Business Operations,Dapper Labs,Blockchain / Web3,https://www.linkedin.com/in/kimcope,Daniel
Mikael N. Hjorth,Electrification Hub,CEO & Founder,CleanTech / Energy,https://www.linkedin.com/in/mikaelnhjorth,Daniel
Rebecca Kaykas-Wolff,Founder,The Luminary Societies,Community / Social Impact,https://www.linkedin.com/in/rebeccakw,Daniel
Yar Doroshenko,HackathonSF,Co-Founder,Community / Tech Events,https://www.linkedin.com/in/ydoroshenko,Daniel
Ryo Tateishi,Director, Business Development,Mitsubishi Corporation (Americas),Conglomerate / Trade,https://www.linkedin.com/in/ryo-tateishi-08464612a,Daniel
Taihei Kawamoto,Senior Manager, Business Development,Mitsubishi Corporation (Americas),Conglomerate / Trade,https://www.linkedin.com/in/taihei-kawamoto-8573b699,Daniel
Yuji Doi,Kajima,Innovation Manager,Construction / Engineering,https://www.linkedin.com/in/yuji-doi-904569141,Daniel
Sang Yoon Choi,GS E&C,Director,Construction / Engineering,https://www.linkedin.com/in/sangyoon-choi,Daniel
Rick Hariman,Board Advisor / Consultant,RH Venture and Consulting,Consulting,https://www.linkedin.com/in/rick-hariman,Daniel
Sergio Cortina Rivera,Managing Partner,Vera Advisory,Consulting / Advisory,https://www.linkedin.com/in/sergio-cortina-rivera-6729122a,Daniel
Amarit Charoenphan,Asia Pillars,Advisor to CEO,Consulting / Advisory,https://www.linkedin.com/in/amaritcharoenphan,Daniel
Peter Mebert,Founder & CEO,MEBERT GROUP,Consulting / Business Services,https://www.linkedin.com/in/peter-mebert,Daniel
Tara Dowdell,19Y Advisors,Principal, Corporate VC, Innovation Incubation & Marketing,Consulting / Corporate VC,https://www.linkedin.com/in/taramdowdell,Daniel
Sanjay Sabnis,Consulting,Data Strategy and Technology Consulting,Consulting / Data & Technology,https://www.linkedin.com/in/sanjaysabnis,Daniel
Aleksandra Medvedeva,Project First LLC,Data Scientist,Consulting / Data Science,https://www.linkedin.com/in/aimedvedeva,Daniel
Tina Mulqueen,Burson,Senior VP, Digital Transformation,Consulting / Digital Strategy,https://www.linkedin.com/in/tina-mulqueen,Daniel
Richard Ginn,Costella Kirsch,Managing Director and CFO,Consulting / Finance,https://www.linkedin.com/in/richard-ginn-74039,Daniel
Mike Brubaker,Partner (Former PA Senator),Principled Strategies, LLC,Consulting / Government Relations,https://www.linkedin.com/in/brubakermike,Daniel
Oliver Baker,PM Reactor,Business Development Manager,Consulting / Innovation,https://www.linkedin.com/in/oliver-baker-math,Daniel
Jeff Wong,Global Chief Innovation Officer,EY,Consulting / Professional Services,https://www.linkedin.com/in/jeffwong-ey,Daniel
Beth Bauer,PosiROI, LLC,Founder & CEO,Consulting / ROI Analytics,https://www.linkedin.com/in/beth-bauer-loves-data-and-people,Daniel
LouAnn Conner,Founder & CEO,SagaciousThink, LLC,Consulting / Strategy,https://www.linkedin.com/in/louannconner,Daniel
Philip King,Starboard Strategic,Chief Operating Officer,Consulting / Strategy,https://www.linkedin.com/in/freekingphoto,Daniel
Robert (Bob) Gallagher,Deloitte Digital,Partner, Technology & Transformation, Deloitte SEA,Consulting / Technology,https://www.linkedin.com/in/bobgallagheruk,Daniel
Ray Anthony Almonares, PhD,Creagy,Principal Consultant,Consulting / Technology,https://www.linkedin.com/in/ray-anthony-almonares-phd-a9165334,Daniel
Prakash Agarwal,m2i International,President / CEO,Consulting / Training,https://www.linkedin.com/in/prakashagarwal94105,Daniel
Frode Odegard,Chairman & CEO,Post-Industrial Institute,Consulting, Coaching & Research,https://www.linkedin.com/in/odegard,Daniel
Tatyana Mamut, PhD,Co-Founder & CEO,Wayfound,Consulting, Coaching & Research,https://www.linkedin.com/in/tmamut,Daniel
Jay Bransfield,Executive Coach,Bransfield Associates,Consulting, Coaching & Research,https://www.linkedin.com/in/jaybransfield,Daniel
Yasiris Gomez,Oliver Rums,UX Specialist,Consumer Goods / Spirits,https://www.linkedin.com/in/yasirisgomez,Daniel
Gwen Salley,Founder,Montevia,Consumer Products,https://www.linkedin.com/in/gwensalley,Daniel
Rodrigo Ricaud,Chief Mosquito,Moskinto USA,Consumer Products / Healthcare,https://www.linkedin.com/in/rricaud,Daniel
Michael Waldman,Founder and CEO,BRAFIT ID, CORP.,Consumer Tech / Wearables,https://www.linkedin.com/in/michaelwaldman,Daniel
Supachai Kid Parchariyanon,RISE - Corporate Innovation Powerhouse,CEO & Co-Founder,Corporate Innovation / Consulting,https://www.linkedin.com/in/supachai,Daniel
Hersh Bhatt,Upwell LLC,Corporate Development,Corporate Services / Business Development,https://www.linkedin.com/in/hershbhatt,Daniel
John New,Work Merk,CEO & Founder,Corporate Training / L&D,https://www.linkedin.com/in/john-new-8104431,Daniel
Justin Ziebell,Indeed.com,Corporate Venture Capital,Corporate VC / Talent Tech,https://www.linkedin.com/in/justin-ziebell,Daniel
Alex Marquez,Experian,Global Head of Experian Ventures,Corporate Venture Capital / Fintech,https://www.linkedin.com/in/alexmarquez,Daniel
Vinod Joseph,Samsung Next,Investor,Corporate Venture Capital / Technology,https://www.linkedin.com/in/vinod-joseph-75938092,Daniel
Mike Morris,Inception Studio,Founder,Creative Studio / Innovation,https://www.linkedin.com/in/mikemorris7,Daniel
Frank Duff,Chief Innovation Officer,Tidal Cyber,Cybersecurity,https://www.linkedin.com/in/frank-duff-b713851b,Daniel
Dirk Hofmann,CEO (Germany), Co-Founder,DAIN Studios,Data / AI Consulting,https://www.linkedin.com/in/dihofmann,Daniel
Malcolm De Leo,GraphIQ,Co-Founder,Data / Analytics / AI,https://www.linkedin.com/in/mdeleo,Daniel
Olga Singh,Founder,REDESIGN,Design & Entrepreneurship,https://www.linkedin.com/in/05olga,Daniel
Tatiana Simonchik,Amazon,Finance Manager, IPAT COMPASS, Worldwide Amazon Stores controllership,E-commerce / Retail,https://www.linkedin.com/in/tatianasimonchik,Daniel
Cinthia Liu,Poshmark,Associate Director, Product-Led Retention,E-commerce / SaaS,https://www.linkedin.com/in/cinthia-liu-06544867,Daniel
Sam Chaudhary,Co-Founder & CEO,ClassDojo,EdTech,https://www.linkedin.com/in/samchaudhary,Daniel
Jun Liu,7EDU,Founder & CEO,EdTech,https://www.linkedin.com/in/7edu-junliu,Daniel
Xu (Sue),Co-Founder,AI Roboto Edu,EdTech / AI,https://www.linkedin.com/in/aire-xu,Daniel
Adele Smolansky,AI-Learners,Founder and CEO,EdTech / AI,https://www.linkedin.com/in/adelesmolansky,Daniel
Steve Shapiro,Finetune (A Prometric Company),CEO,EdTech / Assessment,https://www.linkedin.com/in/steveshapiro7,Daniel
Pablo Orduña,LabsLand,Co-founder, CEO, Principal Engineer,EdTech / Lab Simulation Software,https://www.linkedin.com/in/porduna,Daniel
Akbar Sayakov,Learn.xyz,Software Engineer,EdTech / Software,https://www.linkedin.com/in/akbarsayakov,Daniel
Michael Weisman,Elentra,Senior Director, Member Relations,EdTech / Software,https://www.linkedin.com/in/michaeljweisman,Daniel
Berkeley Gillentine,Senior Development Officer,Washington University in St. Louis,Education,https://www.linkedin.com/in/blgillentine,Daniel
Mengkoung Key,Product Management Student,HARBOUR.SPACE,Education,https://www.linkedin.com/in/mengkoung-key-234171197,Daniel
Saba Tolordava,Corporate Partnerships & Programs,HARBOUR.SPACE,Education,https://www.linkedin.com/in/sabatolordava,Daniel
Anders Parment,Ph. D.,Stockholm Business School,Education,https://www.linkedin.com/in/andersparment,Daniel
Pin Pin Tea-makorn,Sasin School of Management,AI Strategist,Education / AI,https://www.linkedin.com/in/pin-pin-tea-makorn,Daniel
Aung Kaung Pyae (Christian),United Board for Christian Higher Education in Asia,Educational Technology Officer,Education / EdTech,https://www.linkedin.com/in/aung-kaung-pyae,Daniel
Lina Romashkova,HARBOUR.SPACE,Academic Director,Education / EdTech,https://www.linkedin.com/in/lina-romashkova-37628643,Daniel
Mike Lepech,STVP - Stanford Engineering Entrepreneurship Center,Faculty Director,Education / Entrepreneurship,https://www.linkedin.com/in/mike-lepech-b6553b9,Daniel
Paul Meyers,Asia Founder Coaching,Head Coach,Education / Entrepreneurship,https://www.linkedin.com/in/paulmeyers,Daniel
Sep Riahi,Global Tinker,Executive Producer & CEO,Education / Media,https://www.linkedin.com/in/sepriahi,Daniel
Anastasiya Tyurina,Founder, CEO,Garage Tech Academy,Education / Startup,https://www.linkedin.com/in/anastasyatyurina,Daniel
Tom Everson,Educational Consultant,CodeLite,Education / Technology,https://www.linkedin.com/in/tomeverson-hs,Daniel
Dandan Wu,Founder,ChronoHer Academy,Education / Training,https://www.linkedin.com/in/dandanwuchina,Daniel
Bradley Loiselle,Founder & CEO,Skills Council of Canada Inc.,Education / Workforce Development,https://www.linkedin.com/in/bradley-l-2647001a,Daniel
Daniel Karlsson,CIO,Preem AB,Energy,https://www.linkedin.com/in/daniel-karlsson-b43546,Daniel
Alexei Beltyukov,Founder,Universal Fuel Technologies,Energy / Cleantech,https://www.linkedin.com/in/alexei-b-baa6672,Daniel
Nat Jitwarawong,B.Grimm,Assistant VP - Project & Business Development,Energy / Infrastructure,https://www.linkedin.com/in/nat-j-aa4bb649,Daniel
Vivek Chawla,Director,Weston Engg Fabricators Pvt Ltd,Engineering & Manufacturing,https://www.linkedin.com/in/vivekchawla,Daniel
Brandon Talebi,Hewlett Packard Enterprise,AI & GPU Sales Specialist,Enterprise Hardware / AI,https://www.linkedin.com/in/brandontalebi,Daniel
Scott Moyer,Hewlett Packard Enterprise,Business Development Manager - Nvidia Alliance Team,Enterprise Hardware / AI,https://www.linkedin.com/in/scott-moyer-56918a41,Daniel
Jim Myrick,VP Enterprise Sales,Bytez,Enterprise Software,https://www.linkedin.com/in/jim-myrick-19b162,Daniel
Ashley Tarver,Microsoft,Data & AI Cloud Evangelist,Enterprise Software / AI,https://www.linkedin.com/in/ashley-ai,Daniel
Tony Zirnoon, CISSP,Actian,Director of Channel & Strategic Partnerships,Enterprise Software / Data Management,https://www.linkedin.com/in/zirnoon,Daniel
Daniel Jung,TigerGraph,Chief Financial Officer,Enterprise Software / Graph Databases,https://www.linkedin.com/in/danieljung,Daniel
Massimo Malizia,Cisco,Director Corporate Development Integration,Enterprise Tech / Networking,https://www.linkedin.com/in/massimomalizia,Daniel
Patrick Borre,CEO,Billetto ApS,Events / Ticketing,https://www.linkedin.com/in/patrick-borre-625baa1,Daniel
Amber Allen,Founder & CEO,Double A Labs,Experiential Marketing / Media,https://www.linkedin.com/in/amberdallen,Daniel
Anton Holmberg,Robes Rental,Co-Founder & Head of Product,Fashion / Rental,https://www.linkedin.com/in/holmberga,Daniel
Andrew Komarovski,Mannequin Technologies,Co-Founder,Fashion Tech,https://www.linkedin.com/in/akomarovski,Daniel
Geoff Headington,Managing Director,HSBC Innovation Banking,Finance / Banking,https://www.linkedin.com/in/geoff-headington-467969,Daniel
Jeff Faust,Abbott, Stringham & Lynch,Principal, Valuation Services,Finance / Consulting,https://www.linkedin.com/in/jfaust1,Daniel
Shadaab Kanwal, MBA.MISM.,Managing Director Digital, Data and Analytics,Charles Schwab,Finance / Digital Transformation,https://www.linkedin.com/in/skanwal,Daniel
Sunayna Tuteja,Chief Innovation Officer,Federal Reserve System,Finance / Government,https://www.linkedin.com/in/sunaynatuteja,Daniel
Jonathan Doochin,Executive Chairman,Firefly Capital Management,Finance / Investment,https://www.linkedin.com/in/doochin,Daniel
Pavel Koktyshev,Member,The Financial Club,Finance / Investment,https://www.linkedin.com/in/pavel-koktyshev-ab792713,Daniel
David Santana,Fidelity Private Shares,VP, Business Partner Manager,Finance / Private Markets,https://www.linkedin.com/in/davidsantanamontanez,Daniel
Andrea Notari,Corporate Venture Capital & Open Innovation Manager,Credem Banca,Finance / Venture Capital,https://www.linkedin.com/in/andreanotari11,Daniel
Anu Datta,AssetMark,Talent Consultant,Financial Services / HR,https://www.linkedin.com/in/anudatta,Daniel
Shahzad Khan,Chief Strategy & Growth Officer,KEYNO,Fintech,https://www.linkedin.com/in/shahzad-khan-85a0945,Daniel
Anastasia Adizes,Innovator,Agatha Global Tech,Fintech / Insurance,https://www.linkedin.com/in/aadizes,Daniel
Mayank Gupta,CaseBasix,CEO,Fintech / LegalTech,https://www.linkedin.com/in/mayank-gupta-50a1ba9,Daniel
Anika Brain,CEO & CBDO, Co-Founder,PlaySEND.co,Fintech / Payments,https://www.linkedin.com/in/anikabrain,Daniel
Wesley Samples,Strategic Operations,Ordo,Fintech / SaaS,https://www.linkedin.com/in/wesleysamples,Daniel
Josh Steinfeld,Carta,Principal Product Strategist,Fintech / SaaS,https://www.linkedin.com/in/josh-steinfeld,Daniel
Michael Schrader, CFA,Board Observer,Kinder's Premium Quality Seasonings & Sauces,Food & Beverage,https://www.linkedin.com/in/schradermichael,Daniel
Anastasia Trofimova,Sundö Foods,CEO & Co-Founder,Food & Beverage,https://www.linkedin.com/in/anastasia-trofimova-67650940,Daniel
Victoria Bracha,VB Fine Chocolates,Founder & Professional Chocolatier,Food & Beverage,https://www.linkedin.com/in/victoria-bracha,Daniel
Pavel Volkov,Compass Group,-,Food & Beverage / Corporate,https://www.linkedin.com/in/paul-volk-pro,Daniel
Ezra Goldman,Upshift,Co-Founder & CEO,Gig Economy / Workforce Platform,https://www.linkedin.com/in/ezrajgoldman,Daniel
Shilpa S Nath,IMDA,Community & Communications Lead, AI verify foundation,Government / AI Policy,https://www.linkedin.com/in/shilpasn,Daniel
Fredrik Weisner,Vinnova,Strategic Area Leader, Digital Transformation,Government / Innovation,https://www.linkedin.com/in/fredrikweisner,Daniel
Majid Samman,Strategic Partnerships Director,Ministry of Communications & IT (Saudi Arabia),Government / Technology,https://www.linkedin.com/in/majidsamman,Daniel
Genta Ando,Executive Director,JETRO - Japan External Trade Organization,Government & International Trade,https://www.linkedin.com/in/genta-ando-22332627,Daniel
Sanid Patil,Sr. AVP & Sector Lead,Invest India,Government & International Trade,https://www.linkedin.com/in/sanid-patil-9b141732,Daniel
Michal Tavrovsky,Co-Founder & Chief Commercial Officer,MenHealth,Health & Wellness,https://www.linkedin.com/in/michaltavrovsky,Daniel
David Kaiser,Founder and CEO,Scienza Health,Health & Wellness,https://www.linkedin.com/in/davidkaiser369,Daniel
Hanna Aliashkevich, MD,PigPug Health,Co-Founder,Health Tech,https://www.linkedin.com/in/neurannette,Daniel
Karim Damji,Executive Board Member,Spectrum Clinical Research,Healthcare & Clinical Research,https://www.linkedin.com/in/karimdamji,Daniel
Allan Gobbs,CEO & Chairman, Investor,YCare,Healthcare & Clinical Research,https://www.linkedin.com/in/gobbs,Daniel
George Kalogeropoulos,HealthSherpa,CEO,HealthTech / Insurance,https://www.linkedin.com/in/georgekalogeropoulos,Daniel
Jeevan J. Singh,PocketMD,Founder & CEO,HealthTech / SaaS,https://www.linkedin.com/in/jeevan-j-singh-87a81725,Daniel
Beth Doores,Director for Alumni Networks,Washington University in St. Louis,Higher Education,https://www.linkedin.com/in/bethdoores,Daniel
Ben Nelson,Minerva University,Founder & Chancellor,Higher Education,https://www.linkedin.com/in/bennelson3,Daniel
Ivan Bilugan,HARBOUR.SPACE,Campus Manager,Higher Education,https://www.linkedin.com/in/ivanbilugan,Daniel
Aye Myat Thiri Aung (Amandaa),HARBOUR.SPACE,Academic Coordinator,Higher Education,https://www.linkedin.com/in/ayemyatthiriaung,Daniel
II Luscri,AVP Innovation & Entrepreneurship; Professor,Washington University in St. Louis,Higher Education / Entrepreneurship,https://www.linkedin.com/in/luscri,Daniel
Chaymaa Rhassate,HARBOUR.SPACE,Head of Marketing and Admissions,Higher Education / Marketing,https://www.linkedin.com/in/chaymaa-rhassate,Daniel
Irina Luzko,Project Manager,WeCP (We Create Problems),HR Tech / Assessments,https://www.linkedin.com/in/irina-luzko,Daniel
Buda Yao,Interim Director of Sales,Justworks,HR Tech / SaaS,https://www.linkedin.com/in/budayao,Daniel
Anastasia Totok,Humantica,Founder,HR Tech / SaaS,https://www.linkedin.com/in/anastasiatotok,Daniel
Jason Diehl,TriNet,Technology Business Consultant,HR Tech / SaaS,https://www.linkedin.com/in/jason-diehl-36383388,Daniel
Mikhail Kolesnikov,CloViC (Cloud Virtual Commissioning),Business Developer,Industrial Automation / SaaS,https://www.linkedin.com/in/mikolesnikov,Daniel
Malur Narayan,XTRIUM,CEO & Co-Founder,Industrial Tech / AI,https://www.linkedin.com/in/malur,Daniel
Sirisha Kuchimanchi,XTRIUM,COO & Co-Founder,Industrial Tech / AI,https://www.linkedin.com/in/sirishakuchimanchi,Daniel
Henrik Jensen,HARTING,Managing Director,Industrial Tech / Manufacturing,https://www.linkedin.com/in/henrik-jensen-240a392,Daniel
Happy Saini,Terramont Infrastructure Partners,Infrastructure - Investment Associate,Infrastructure / Private Equity,https://www.linkedin.com/in/happy-saini,Daniel
Lena Miranda,Linköping Science Park,CEO,Innovation / Startup Ecosystem,https://www.linkedin.com/in/lenamiranda,Daniel
Fyodor Ovchinnikov,Evolutionary Futures Lab,Co-Founder & Director,Innovation / Tech R&D,https://www.linkedin.com/in/fovchinnikov,Daniel
